SID,Name,GroupNM,Group,Trial,Probe,Response,Correct,RT
143,LHJ,low,1,1,2,2,1,1.8917
143,LHJ,low,1,2,2,0,0,0.0000
143,LHJ,low,1,3,1,1,1,0.8766
143,LHJ,low,1,4,2,2,1,1.3005
143,LHJ,low,1,5,1,1,1,0.5062
143,LHJ,low,1,6,1,1,1,0.5098
143,LHJ,low,1,7,1,1,1,0.6903
143,LHJ,low,1,8,2,2,1,1.4307
143,LHJ,low,1,9,1,1,1,0.4123
143,LHJ,low,1,10,2,2,1,0.9546
143,LHJ,low,1,11,2,2,1,0.8313
143,LHJ,low,1,12,1,1,1,0.3875
144,KGY,low,1,1,2,2,1,1.2365
144,KGY,low,1,2,2,2,1,0.7637
144,KGY,low,1,3,1,1,1,0.6083
144,KGY,low,1,4,2,2,1,0.6175
144,KGY,low,1,5,1,1,1,0.3631
144,KGY,low,1,6,1,1,1,0.4336
144,KGY,low,1,7,1,1,1,0.4195
144,KGY,low,1,8,2,2,1,0.9688
144,KGY,low,1,9,1,1,1,0.3662
144,KGY,low,1,10,2,2,1,0.6194
144,KGY,low,1,11,2,2,1,0.6896
144,KGY,low,1,12,1,1,1,0.3728
153,KJW,low,1,1,2,2,1,1.4392
153,KJW,low,1,2,1,1,1,0.7067
153,KJW,low,1,3,1,1,1,0.8413
153,KJW,low,1,4,2,2,1,1.1966
153,KJW,low,1,5,2,2,1,1.2655
153,KJW,low,1,6,1,1,1,0.7893
153,KJW,low,1,7,1,1,1,0.7527
153,KJW,low,1,8,1,1,1,0.6919
153,KJW,low,1,9,1,1,1,0.7941
153,KJW,low,1,10,2,2,1,0.7894
153,KJW,low,1,11,2,2,1,0.9540
153,KJW,low,1,12,2,2,1,0.8954
154,PHS,low,1,1,2,2,1,1.5886
154,PHS,low,1,2,1,1,1,0.8877
154,PHS,low,1,3,1,1,1,0.9891
154,PHS,low,1,4,2,2,1,1.1834
154,PHS,low,1,5,2,2,1,1.3500
154,PHS,low,1,6,1,1,1,0.7141
154,PHS,low,1,7,1,1,1,0.6774
154,PHS,low,1,8,1,1,1,0.8408
154,PHS,low,1,9,1,1,1,0.7185
154,PHS,low,1,10,2,2,1,0.9051
154,PHS,low,1,11,2,2,1,1.0684
154,PHS,low,1,12,2,2,1,0.9472
151,KSH,low,1,1,2,2,1,1.5345
151,KSH,low,1,2,1,1,1,1.6681
151,KSH,low,1,3,2,2,1,1.2269
151,KSH,low,1,4,1,1,1,0.9733
151,KSH,low,1,5,2,2,1,1.2327
151,KSH,low,1,6,2,2,1,1.2695
151,KSH,low,1,7,1,1,1,1.0730
151,KSH,low,1,8,1,1,1,0.7264
151,KSH,low,1,9,1,1,1,0.8927
151,KSH,low,1,10,2,2,1,1.2079
151,KSH,low,1,11,1,1,1,1.6909
151,KSH,low,1,12,2,1,0,0.9925
152,KTY,low,1,1,2,2,1,1.6852
152,KTY,low,1,2,1,1,1,1.3382
152,KTY,low,1,3,2,2,1,1.1183
152,KTY,low,1,4,1,1,1,1.3425
152,KTY,low,1,5,2,2,1,1.2839
152,KTY,low,1,6,2,1,0,1.8326
152,KTY,low,1,7,1,1,1,0.9678
152,KTY,low,1,8,1,1,1,0.8435
152,KTY,low,1,9,1,1,1,0.6907
152,KTY,low,1,10,2,2,1,1.2927
152,KTY,low,1,11,1,1,1,0.8486
152,KTY,low,1,12,2,2,1,1.5278
157,DXY,low,1,1,2,1,0,1.0881
157,DXY,low,1,2,1,2,0,1.1274
157,DXY,low,1,3,1,1,1,1.0025
157,DXY,low,1,4,1,1,1,0.9848
157,DXY,low,1,5,1,1,1,0.6713
157,DXY,low,1,6,2,2,1,0.6126
157,DXY,low,1,7,1,1,1,0.9806
157,DXY,low,1,8,2,2,1,0.7923
157,DXY,low,1,9,1,1,1,0.7665
157,DXY,low,1,10,2,2,1,0.8472
157,DXY,low,1,11,2,1,0,0.6315
157,DXY,low,1,12,2,2,1,1.5952
158,SSY,low,1,1,2,2,1,1.3523
158,SSY,low,1,2,1,1,1,0.8468
158,SSY,low,1,3,1,1,1,0.6263
158,SSY,low,1,4,1,1,1,0.5774
158,SSY,low,1,5,1,1,1,0.7729
158,SSY,low,1,6,2,2,1,0.8427
158,SSY,low,1,7,1,1,1,0.4787
158,SSY,low,1,8,2,2,1,0.9003
158,SSY,low,1,9,1,1,1,0.6792
158,SSY,low,1,10,2,2,1,0.7606
158,SSY,low,1,11,2,2,1,0.4760
158,SSY,low,1,12,2,2,1,0.8356
155,HDH,low,1,1,2,2,1,1.4990
155,HDH,low,1,2,2,2,1,1.0537
155,HDH,low,1,3,2,2,1,0.7088
155,HDH,low,1,4,2,2,1,0.6927
155,HDH,low,1,5,2,2,1,0.6663
155,HDH,low,1,6,1,1,1,0.6700
155,HDH,low,1,7,1,1,1,0.4999
155,HDH,low,1,8,1,1,1,0.5067
155,HDH,low,1,9,1,1,1,0.4793
155,HDH,low,1,10,2,2,1,1.0085
155,HDH,low,1,11,1,1,1,0.5650
155,HDH,low,1,12,1,2,0,0.7952
156,HDY,low,1,1,2,2,1,1.2196
156,HDY,low,1,2,2,2,1,1.0936
156,HDY,low,1,3,2,2,1,0.8779
156,HDY,low,1,4,2,2,1,0.6690
156,HDY,low,1,5,2,2,1,0.7057
156,HDY,low,1,6,1,2,0,0.6787
156,HDY,low,1,7,1,1,1,0.8601
156,HDY,low,1,8,1,2,0,0.6749
156,HDY,low,1,9,1,1,1,0.6142
156,HDY,low,1,10,2,2,1,0.7598
156,HDY,low,1,11,1,1,1,0.4465
156,HDY,low,1,12,1,0,0,0.0000
201,YHJ,high,2,1,2,2,1,1.8252
201,YHJ,high,2,2,2,2,1,1.2226
201,YHJ,high,2,3,2,0,0,0.0000
201,YHJ,high,2,4,1,1,1,1.3692
201,YHJ,high,2,5,1,1,1,0.8642
201,YHJ,high,2,6,1,1,1,0.7418
201,YHJ,high,2,7,2,2,1,1.7727
201,YHJ,high,2,8,2,2,1,1.0414
201,YHJ,high,2,9,1,1,1,1.1746
201,YHJ,high,2,10,1,1,1,1.5921
201,YHJ,high,2,11,2,2,1,1.4998
201,YHJ,high,2,12,1,1,1,0.7688
202,LJE,high,2,1,2,2,1,1.3876
202,LJE,high,2,2,2,2,1,1.2966
202,LJE,high,2,3,2,0,0,0.0000
202,LJE,high,2,4,1,1,1,0.8693
202,LJE,high,2,5,1,1,1,0.6207
202,LJE,high,2,6,1,1,1,0.6244
202,LJE,high,2,7,2,2,1,0.8227
202,LJE,high,2,8,2,2,1,0.7021
202,LJE,high,2,9,1,1,1,1.0278
202,LJE,high,2,10,1,1,1,0.8964
202,LJE,high,2,11,2,2,1,0.7107
202,LJE,high,2,12,1,1,1,0.6518
203,CS,high,2,1,1,0,0,0.0000
203,CS,high,2,2,1,2,0,1.9606
203,CS,high,2,3,2,2,1,1.3913
203,CS,high,2,4,1,0,0,0.0000
203,CS,high,2,5,2,0,0,0.0000
203,CS,high,2,6,2,2,1,1.3697
203,CS,high,2,7,2,2,1,1.1349
203,CS,high,2,8,2,2,1,1.2364
203,CS,high,2,9,1,2,0,1.6257
203,CS,high,2,10,2,0,0,0.0000
203,CS,high,2,11,1,1,1,1.5368
203,CS,high,2,12,1,1,1,1.2868
204,HSJ,high,2,1,1,0,0,0.0000
204,HSJ,high,2,2,1,1,1,1.1393
204,HSJ,high,2,3,2,2,1,1.4333
204,HSJ,high,2,4,1,1,1,1.3713
204,HSJ,high,2,5,2,2,1,1.4706
204,HSJ,high,2,6,2,2,1,1.3171
204,HSJ,high,2,7,2,2,1,0.9865
204,HSJ,high,2,8,2,2,1,0.9601
204,HSJ,high,2,9,1,1,1,1.1256
204,HSJ,high,2,10,2,2,1,1.2876
204,HSJ,high,2,11,1,1,1,1.0993
204,HSJ,high,2,12,1,1,1,0.9117
205,KDY,high,2,1,1,1,1,1.9190
205,KDY,high,2,2,2,2,1,1.4446
205,KDY,high,2,3,1,2,0,1.0348
205,KDY,high,2,4,1,1,1,1.6174
205,KDY,high,2,5,2,2,1,1.4304
205,KDY,high,2,6,2,2,1,1.1134
205,KDY,high,2,7,1,1,1,1.2752
205,KDY,high,2,8,1,1,1,1.0259
205,KDY,high,2,9,2,2,1,1.0297
205,KDY,high,2,10,2,2,1,1.1688
205,KDY,high,2,11,2,2,1,1.1721
205,KDY,high,2,12,1,1,1,0.8574
207,JDH,high,2,1,2,0,0,0.0000
207,JDH,high,2,2,1,1,1,1.3307
207,JDH,high,2,3,2,2,1,1.0177
207,JDH,high,2,4,1,1,1,1.0168
207,JDH,high,2,5,1,1,1,0.8916
207,JDH,high,2,6,2,2,1,1.4088
207,JDH,high,2,7,2,2,1,1.0788
207,JDH,high,2,8,2,2,1,0.8589
207,JDH,high,2,9,2,2,1,1.0546
207,JDH,high,2,10,1,1,1,0.8815
207,JDH,high,2,11,1,1,1,0.8244
207,JDH,high,2,12,1,1,1,0.7962
208,JSI,high,2,1,2,2,1,1.1168
208,JSI,high,2,2,1,2,0,0.9598
208,JSI,high,2,3,2,2,1,0.8707
208,JSI,high,2,4,1,2,0,1.0935
208,JSI,high,2,5,1,2,0,1.0649
208,JSI,high,2,6,2,2,1,1.1660
208,JSI,high,2,7,2,2,1,0.8678
208,JSI,high,2,8,2,2,1,1.0631
208,JSI,high,2,9,2,2,1,0.8450
208,JSI,high,2,10,1,1,1,0.8673
208,JSI,high,2,11,1,1,1,0.8685
208,JSI,high,2,12,1,1,1,0.6837
217,KJH,high,2,1,1,1,1,1.4836
217,KJH,high,2,2,2,2,1,1.2632
217,KJH,high,2,3,2,2,1,1.4597
217,KJH,high,2,4,1,1,1,1.1088
217,KJH,high,2,5,1,1,1,0.8592
217,KJH,high,2,6,2,2,1,1.1198
217,KJH,high,2,7,1,1,1,1.1054
217,KJH,high,2,8,2,2,1,1.0783
217,KJH,high,2,9,2,2,1,0.9865
217,KJH,high,2,10,1,1,1,1.1720
217,KJH,high,2,11,2,2,1,0.9548
217,KJH,high,2,12,1,1,1,0.9286
218,SJW,high,2,1,1,1,1,1.5996
